vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
46	90	LS	47.221651	-1.559239	1800	9000	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
12	50	S	47.219669	-1.55567	0	7200	-1	-1	-1
35	50	S	47.216722	-1.555231	7200	14400	-1	-1	-1
25	40	S	47.217716	-1.55174	1800	9000	-1	-1	-1
66	80	LS	47.220703	-1.548304	16200	23400	-1	-1	-1
6	20	S	47.2211	-1.555272	18000	25200	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
