vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
83	30	LS	47.209999	-1.595902	5400	12600	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
52	30	S	47.220847	-1.569954	5400	12600	-1	-1	-1
14	30	S	47.229771	-1.554525	3600	10800	-1	-1	-1
44	20	LS	47.230202	-1.52356	1800	9000	-1	-1	-1
13	50	S	47.21789	-1.542601	10800	18000	-1	-1	-1
3	40	S	47.214248	-1.557261	10800	18000	-1	-1	-1
69	30	S	47.213179	-1.561797	16200	23400	-1	-1	-1
33	50	LS	47.214668	-1.567069	10800	18000	-1	-1	-1
48	30	S	47.214954	-1.574183	25200	32400	-1	-1	-1
64	0	P	47.20888	-1.5685	0	32400	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
