vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
36	0	P	47.221261	-1.585622	0	32400	-1	-1	-1
36	0	P	47.221261	-1.585622	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
6	20	S	47.2211	-1.555272	18000	25200	-1	-1	-1
12	50	S	47.219669	-1.55567	0	7200	-1	-1	-1
14	30	S	47.229771	-1.554525	3600	10800	-1	-1	-1
25	40	S	47.217716	-1.55174	1800	9000	-1	-1	-1
48	30	S	47.214954	-1.574183	25200	32400	-1	-1	-1
82	40	LS	47.228217	-1.578851	12600	19800	-1	-1	-1
87	90	LS	47.240526	-1.591229	23400	30600	-1	-1	-1
91	90	LS	47.236071	-1.584305	14400	21600	-1	-1	-1
93	60	LS	47.232531	-1.591553	21600	28800	-1	-1	-1
97	60	LS	47.235269	-1.582865	23400	30600	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
