vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
46	90	LS	47.221651	-1.559239	1800	9000	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
78	100	LS	47.223438	-1.598438	1800	9000	-1	-1	-1
33	50	LS	47.214667	-1.567069	10800	18000	-1	-1	-1
77	100	LS	47.239171	-1.570886	16200	23400	-1	-1	-1
32	80	LS	47.248309	-1.576958	23400	30600	-1	-1	-1
87	90	LS	47.240526	-1.591229	23400	30600	-1	-1	-1
97	60	LS	47.235269	-1.582865	23400	30600	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
